timestamp,pair,base,quote,rate,pip_value,name
2025-10-21T14:11:34.452822,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T14:11:35.574043,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T14:11:36.805985,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T14:11:37.950765,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T14:11:39.155882,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T14:11:40.273528,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T14:11:41.401507,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T14:11:42.519238,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T14:11:43.641417,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T14:11:44.775644,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T14:12:45.928141,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T14:12:47.049505,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T14:12:48.197639,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T14:12:49.320949,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T14:12:50.495687,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T14:12:51.662919,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T14:12:52.891712,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T14:12:54.004428,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T14:12:55.127267,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T14:12:56.368880,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T14:13:57.520920,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T14:13:58.736954,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T14:13:59.965160,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T14:14:01.196068,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T14:14:02.312060,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T14:14:03.530157,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T14:14:04.675100,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T14:14:05.887732,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T14:14:07.236982,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T14:14:08.352545,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T14:15:09.590579,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T14:15:10.713252,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T14:15:11.936227,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T14:15:13.184247,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T14:15:14.394046,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T14:15:15.540390,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T14:15:16.664020,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T14:15:17.874843,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T14:15:19.020208,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T14:15:20.248992,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T14:16:21.378158,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T14:16:22.610041,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T14:16:23.742233,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T14:16:24.948580,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T14:16:26.051393,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T14:16:27.217891,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T14:16:28.435196,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T14:16:29.604961,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T14:16:30.801729,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T14:16:31.925770,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T14:17:33.166074,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T14:17:34.373295,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T14:17:35.504668,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T14:17:36.633303,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T14:17:37.822478,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T14:17:39.014468,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T14:17:40.230170,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T14:17:41.389912,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T14:17:42.521804,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T14:17:43.631804,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T14:18:44.768594,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T14:18:45.901621,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T14:18:47.100926,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T14:18:48.312889,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T14:18:49.426690,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T14:18:50.552947,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T14:18:51.702371,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T14:18:52.813391,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T14:18:53.957685,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T14:18:55.090102,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T14:19:56.413691,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T14:19:57.547563,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T14:19:58.676436,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T14:19:59.905115,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T14:20:01.240752,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T14:20:02.445124,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T14:20:03.582983,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T14:20:04.821397,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T14:20:05.984165,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T14:20:07.166675,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T14:21:08.302671,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T14:21:09.537034,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T14:21:10.668595,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T14:21:11.872542,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T14:21:12.998622,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T14:21:14.135650,USD/CAD,USD,CAD,1.4,0.0001,US Dollar / Canadian Dollar
2025-10-21T14:21:15.285685,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
2025-10-21T14:21:16.426278,EUR/GBP,EUR,GBP,0.869,0.0001,Euro / British Pound
2025-10-21T14:21:17.627357,EUR/JPY,EUR,JPY,175.58,0.01,Euro / Japanese Yen
2025-10-21T14:21:18.766526,GBP/JPY,GBP,JPY,202.1,0.01,British Pound / Japanese Yen
2025-10-21T14:22:19.988641,EUR/USD,EUR,USD,1.16,0.0001,Euro / US Dollar
2025-10-21T14:22:21.197342,GBP/USD,GBP,USD,1.34,0.0001,British Pound / US Dollar
2025-10-21T14:22:22.429773,USD/JPY,USD,JPY,150.7,0.01,US Dollar / Japanese Yen
2025-10-21T14:22:23.544293,USD/CHF,USD,CHF,0.793,0.0001,US Dollar / Swiss Franc
2025-10-21T14:22:24.661575,AUD/USD,AUD,USD,0.651,0.0001,Australian Dollar / US Dollar
2025-10-21T14:22:36.418080,NZD/USD,NZD,USD,0.574,0.0001,New Zealand Dollar / US Dollar
